sign,charact
0,建
1,唯
2,黄
3,御
4,从
5,用
6,虎
7,意
8,高
9,游
10,莫
11,去
12,易
13,遂
14,我
15,右
16,今
17,常
18,合
19,皇
20,受
21,定
22,良
23,父
24,雨
25,立
26,室
27,起
28,正
29,好
30,朝
31,身
32,衣
33,新
34,作
35,李
36,来
37,使
38,且
39,奉
40,周
41,左
42,白
43,利
44,林
45,秋
46,士
47,深
48,字
49,玉
50,多
51,侯
52,司
53,命
54,永
55,陵
56,官
57,春
58,世
59,元
60,思
61,九
62,武
63,更
64,通
65,寒
66,益
67,夜
68,老
69,重
70,徐
71,氏
72,必
73,足
74,东
75,物
76,流
77,宗
78,鼎
79,清
80,西
81,孝
82,臣
83,守
84,亭
85,章
86,福
87,家
88,令
89,始
90,申
91,宜
92,女
93,和
94,光
95,印
96,敬
97,海
98,堂
99,名
